#Format: <Metro_ID> <Delay_in_Minutes> <Crowded_Status>
# Crowded_Status: 0 = Not Crowded, 1 = Crowded
1,3,0
2,0,1
3,8,0
4,5,1
5,0,0
6,4,1
7,4,0
8,0,1
9,7,1
10,0,0
11,6,0
12,9,1
13,2,0
14,0,1
15,11,1
16,3,0
17,0,0
18,10,1
19,1,0
20,0,1
21,0,0
22,6,1
23,13,1
24,7,1
25,0,0
26,0,1
27,0,0
28,1,0
29,0,0
30,0,1
31,0,0
32,0,1
33,7,1
34,7,0
35,5,0
36,0,0
37,10,1
38,0,0
39,0,1
40,0,1
41,0,1
42,0,1
43,0,0
44,8,1
45,0,1
46,0,0
47,0,0
48,11,0
49,0,0
50,3,0
51,8,0
52,0,0
53,0,0
54,5,1
55,9,0
56,0,0
57,10,0
58,15,0
59,0,0
60,14,0
61,0,0
62,6,1
63,0,1
64,2,0
65,0,1
66,6,0
67,0,1
68,0,0
69,0,0
70,1,0
71,0,1
72,0,0
73,12,0
74,0,0
75,0,1
76,0,1
77,4,0
78,10,0
79,3,1
80,10,1
81,0,0
82,0,0
83,0,1
84,0,1
85,0,1
86,10,1
87,0,0
88,0,0
89,0,1
90,11,1
91,6,1
92,0,0
93,0,0
94,11,1
95,0,1
96,0,0
97,13,1
98,0,1
99,0,0
100,11,0
101,13,1
102,0,1
103,0,1
104,0,1
105,0,0
106,10,0
107,0,1
108,0,0
109,0,1
110,7,0
111,4,1
112,2,0
113,0,0
114,0,1
115,6,1
116,12,0
117,0,0
118,0,1
119,0,0
120,6,0
121,3,0
122,10,1
123,0,1
124,2,1
125,7,0
126,0,0
127,0,0
128,0,1
129,13,0
130,4,1
131,0,1
132,14,0
133,0,0
134,15,0
135,8,1
136,0,1
137,0,1
138,9,1
139,0,0
140,1,0
141,15,0
142,0,0
143,0,0
144,0,1
145,6,0
146,0,1
147,0,0
148,0,0
149,15,0
150,0,0
151,9,0
152,6,0
153,0,0
154,0,1
155,0,0
156,0,1
157,9,0
158,0,1
159,0,0
160,2,1
161,1,1
162,0,0
163,0,1
164,0,1
165,0,0
166,4,0
167,6,1
168,0,0
169,0,1
170,0,1
171,9,1
172,0,1
173,1,1
174,9,0
175,0,0
176,0,0
177,2,1
178,6,0
179,0,1
180,2,0
181,2,1
182,0,0
183,0,0
184,0,1
185,2,0
186,0,0
187,0,1
188,0,1
189,4,1
190,0,0
191,12,1
192,0,1
193,7,0
194,0,0
195,0,0
196,0,1
197,0,0
198,6,0
199,11,0
200,5,0
201,0,0
202,8,1
203,0,1
204,10,0
205,0,1
206,0,0
207,0,1
208,0,0
209,9,1
210,0,0
211,0,0
212,3,0
213,0,0
214,4,0
215,0,1
216,0,0
217,0,0
218,12,1
219,13,0
220,0,1
221,0,1
222,0,1
223,2,0
224,11,1
225,2,0
226,3,0
227,13,0
228,0,0
229,0,0
230,13,0
231,0,1
232,8,0
233,0,0
234,0,1
235,0,0
236,14,0
237,8,0
238,0,0
239,2,0
240,0,0
241,0,1
242,0,0
243,0,1
244,0,0
245,2,1
246,0,0
247,0,1
248,0,1
